*	*	2534057	1.0	
dai85309	ele26917	116	4.57763972949e-05	
dai85309	ele66600	116	4.57763972949e-05	
dai85309	ele91337	116	4.57763972949e-05	
dai93865	fro40251	116	4.57763972949e-05	
ele12792	sna69641	116	4.57763972949e-05	
ele17451	gro21487	116	4.57763972949e-05	
ele17451	gro56726	116	4.57763972949e-05	
ele17451	sna55762	116	4.57763972949e-05	
ele32164	sna62128	116	4.57763972949e-05	
fro32293	fro40251	116	4.57763972949e-05	
gro21487	sna45677	116	4.57763972949e-05	
dai22177	ele91337	115	4.53817731803e-05	
dai22896	dai62779	115	4.53817731803e-05	
dai22896	ele17451	115	4.53817731803e-05	
dai62779	fro79022	115	4.53817731803e-05	
dai62779	gro85051	115	4.53817731803e-05	
dai75645	sna90094	115	4.53817731803e-05	
ele17451	ele74482	115	4.53817731803e-05	
ele24630	ele26917	115	4.53817731803e-05	
ele30933	gro73461	115	4.53817731803e-05	
ele32164	fro31317	115	4.53817731803e-05	
ele34057	fro85978	115	4.53817731803e-05	
fro16142	sna80324	115	4.53817731803e-05	
fro31317	fro80039	115	4.53817731803e-05	
fro40251	gro32086	115	4.53817731803e-05	
gro71621	sna99873	115	4.53817731803e-05	
dai62779	dai94679	114	4.49871490657e-05	
dai62779	ele24630	114	4.49871490657e-05	
ele11111	gro73461	114	4.49871490657e-05	
ele74009	ele74482	114	4.49871490657e-05	
fro31317	fro53271	114	4.49871490657e-05	
fro40251	sna93860	114	4.49871490657e-05	
fro85978	gro21487	114	4.49871490657e-05	
dai42083	gro59710	113	4.45925249511e-05	
dai62779	ele34057	113	4.45925249511e-05	
dai62779	ele74482	113	4.45925249511e-05	
dai85309	sna18336	113	4.45925249511e-05	
dai85309	sna96271	113	4.45925249511e-05	
dai87448	fro85978	113	4.45925249511e-05	
dai92600	sna59903	113	4.45925249511e-05	
ele14480	gro73461	113	4.45925249511e-05	
ele17451	gro71621	113	4.45925249511e-05	
fro40251	fro80039	113	4.45925249511e-05	
gro15017	sna80324	113	4.45925249511e-05	
dai42083	sna59903	112	4.41979008365e-05	
dai62779	sna18336	112	4.41979008365e-05	
dai63921	dai83733	112	4.41979008365e-05	
dai91290	ele17451	112	4.41979008365e-05	
ele17451	ele74009	112	4.41979008365e-05	
ele17451	gro81087	112	4.41979008365e-05	
ele99737	sna55762	112	4.41979008365e-05	
fro40251	gro15017	112	4.41979008365e-05	
gro46854	sna93860	112	4.41979008365e-05	
dai55911	gro85051	111	4.38032767219e-05	
dai62779	ele34057	111	4.38032767219e-05	
dai62779	gro32086	111	4.38032767219e-05	
dai85309	ele32164	111	4.38032767219e-05	
dai92600	fro80039	111	4.38032767219e-05	
ele17451	gro61133	111	4.38032767219e-05	
ele17451	sna45677	111	4.38032767219e-05	
ele32164	gro61133	111	4.38032767219e-05	
